Python,SQL,Excel,Storyboarding,Business Communication,Deck Making,R,Java,Javascript,Shell scripting,Ruby,Scala,Go,Rust,Exploratory Data Analysis,Statistics,Bayesian Statistics,Feature Engineering,Feature Selection,Modelling Process,Causal Analysis & Design of Experiments,Probability,Linear Algebra,Hyperparameters Tuning,Dimensionality Reduction,Regression,Clustering,Time Series Analysis,Classification,NLP,Neural Networks,Computer Vision,Reinforcement Learning,Operations Research,Self-Supervised Learning,Graph Machine Learning,Ethics in AI & ML,Information Extraction,Anomaly detection,Clustering theory,Knowledge Graphs,Optimization,Tableau,PowerBi,Looker,Rshiny,Microstrategy,Grafana,QlikView,QlikSense,AWS QuickSight,AWS,Azure,GCP,Design Thinking,SDLC process,Testing LifeCycle,Project Management,Requirements Gathering,Rally,Agile model of development,FAST API,Flask,Angular,HTML/CSS,NodeJS,Go Lang,Django,Next JS,Vue JS,React JS,ArgoCD,Azure DevOps,GitHub,GitLab,GoCD,GCP Cloud Build,Jenkins,"AWS (CodePipeline, CodeBuild, CodeDeploy)",Informatica,Talend,Pentaho,SSIS,AirByte,NiFi2,Fivetran,Matillion,Airflow,AWS Glue,AWS Step Functions,Azure Data Factory,Google Cloud Composer,Nifi,Oozie,Data Modelling,System Architecture Design,Network Architecture Design,Databricks,"Datalake (S3, ADLS, GCS)",Batch Data pipeline,Streaming Data Pipeline,Data Storage,Azure SQL DB,DB2,MySQL,Oracle,SQL Server,PostgreSQL,Hive2,Azure Synapse Analysis,Google BigQuery,AWS Redshift,Snowflake,MongoDB,CouchBase,Azure Cosmos DB,AWS DynamoDB,GCP Firestore/BigTable,Hbase,Hadoop,Hive,Pig,Kafka,PySpark,Sqoop,IOT,Docker,Terraform,Kubernetes,Podman,Ansible,Chef,Azure Bicep,Azure ARM,Adobe Analytics,Matomo,Google Analytics,Azure ML Studio,AWS Sagemaker,Dataiku,DataRobot,GCP Vertex AI,MLFlow,Kubeflow,Seldon Core,Fiddler,BentoML,BDD,TDD,Postman,SonarQube,Jmeter,Cucumber,TestRail,Pytest/unittest,Mocha/Chai,Jasmine,Alation,Atlan,Azure Purview,Great Expectations,Collibra,ADLS Gen2,AWS S3,HDFS,GCP Cloud Storage,Redis,Memcached,Apache Beam,Apache Flink,Spark Streaming,GCP Dataflow,GCP Pub-Sub,Azure Event Hub,AWS Kinesis,Azure Stream Analytics,Apache Kafka,UX research,UX design,UI design,Prototyping,Video creation,UX writing,Graphic Design,Value Communication Design,Figma,Adobe Illustrator,Adobe Photoshop,Adobe Premier Pro,Adobe After Effects,Automobile,Banking,CPG,Hospitality,Insurance,Healthcare & Pharma,Retail,Technology,Renewable Energy,Telecom,Strategy & Planning,Pricing & Revenue Management,"Growth, Marketing & Sales",Logistics & Supply Chain,Merchandising & Store Ops,Digital,Consumer Insights,Deep Learning,Agile: Scrum,Agile: Kanban,PM Tools: JIRA,GCP Pub/Sub,scrum,Application CI/CD,ETL / ELT,asp_skills,Discipline & Integrity,Initiative & Ownership,Adaptability,Teamwork,Innovative Thinking,Curiosity & Learning Agility,Problem Solving,Result Orientation,Quality Focus,Effective Communication,Work Management and effectiveness,ClientCentric,GenAI,NucliOS
3.0,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,2.0,,3.0,1.0,1.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
,,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.0,2.0,4.0,4.0,4.0,1.0,,,,,,,,3.0,2.0,,,2.0,3.0,,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,,,,,,,,,,1.0,,,1.0,4.0,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,,2.0,,,,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.0,2.0,1.0,3.0,2.0,,1.0,3.0,2.0,,,,,3.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,3.0,1.0,,3.0,,,,,,2.0,3.0,1.0,3.0,1.0,,2.0,2.0,,4.0,,1.0,3.0,3.0,,,,,,,,,,,,,,,,3.0,,,,,1.0,,2.0,2.0,,1.0,2.0,2.0,,2.0,,2.0,1.0,,,,,,2.0,,,,,,,,,,2.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,4.0,,3.0,4.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,,,,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,4.0,4.0,4.0,5.0,4.0,,,,,,,,,5.0,5.0,,5.0,5.0,3.0,,3.0,,3.0,1.0,5.0,,4.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.0,2.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,4.0,4.0,,,,,,,2.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,2.0,,2.0,3.0,,,3.0,,3.0,3.0,,3.0,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,3.0,3.0,,4.0,,,,3.0,3.0,,4.0,4.0,3.0,3.0,3.0,3.0,,4.0,,3.0,3.0,,,,,,2.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,4.0,1.0,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,3.0,,2.0,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.0,2.0,2.0,2.0,2.0,,1.0,,,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
,1.0,2.0,4.0,4.0,3.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,3.0,2.0,1.0,4.0,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.0,3.0,3.0,4.0,4.0,,,,1.0,,,,,4.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,1.0,,,,,,,,,,,,2.0,3.0,1.0,,,,,,,2.0,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,1.0,,2.0,,,,3.0,,,2.0,2.0,,,2.0,,,3.0,,3.0,2.0,1.0,1.0,,3.0,3.0,,,,,,,,2.0,,,3.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,4.0,3.0,3.0,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,3.0,3.0,4.0,4.0,4.0,2.0,,,,,,,,3.0,5.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,,,1.0,,2.0,2.0,,1.0,2.0,3.0,,,,,,,,1.0,1.0,,3.0,2.0,,3.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,3.0,,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,2.0,3.0,4.0,4.0,5.0,,,,1.0,,,,,3.0,2.0,,2.0,3.0,3.0,,,,2.0,,2.0,1.0,1.0,3.0,,,,,,,,,,2.0,1.0,,1.0,,3.0,,,,,,,,,1.0,,4.0,,,1.0,,,3.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
